央视,#genre#
CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CGTN法语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8
CGTN俄语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
CGTN西班牙语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
CGTN阿拉伯语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8
CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8

卫视,#genre#
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
兵团卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226251/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226254/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226320/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
上海东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226342/index.m3u8
黑龙江影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226365/index.m3u8
黑龙江新闻法治,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226368/index.m3u8
黑龙江少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226371/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226374/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226377/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226383/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226386/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226395/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226421/index.m3u8
黑龙江文体,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226424/index.m3u8
黑龙江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226427/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226430/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226448/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226463/index.m3u8
黑龙江农业科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226492/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226495/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226498/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226501/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226504/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226507/index.m3u8
深圳卫视-SD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226510/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226513/index.m3u8
延边,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226522/index.m3u8
全网,#genre#

CGTN,http://116.233.34.25:7777/tsfile/live/1037_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CETV,http://116.233.34.25:7777/tsfile/live/1041_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV1,http://58.48.5.186:1111/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV1,http://122.224.58.42:85/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV1,http://210.22.75.86:9901/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV1,http://116.233.34.25:7777/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV1,http://58.245.97.28:9901/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV1,http://171.120.7.130:9999/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV1,http://113.218.230.180:8081/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV1,http://183.185.252.91:9999/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV2,http://116.233.34.25:7777/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV2,http://171.120.7.130:9999/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV2,http://58.245.97.28:9901/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV2,http://58.48.5.186:1111/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV2,http://122.224.58.42:85/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV2,http://113.218.230.180:8081/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV2,http://210.22.75.86:9901/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV2,http://183.185.252.91:9999/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV3,http://58.245.97.28:9901/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV3,http://171.120.7.130:9999/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV3,http://113.218.230.180:8081/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV3,http://116.233.34.25:7777/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727575207$晚高峰卡
CCTV3,http://210.22.75.86:9901/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV3,http://58.48.5.186:1111/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV3,http://122.224.58.42:85/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV3,http://183.185.252.91:9999/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV4,http://58.48.5.186:1111/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV4,http://113.218.230.180:8081/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV4,http://116.233.34.25:7777/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV4,http://58.245.97.28:9901/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV4,http://183.185.252.91:9999/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV4,http://171.120.7.130:9999/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV5,http://210.22.75.86:9901/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV5,http://116.233.34.25:7777/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV5,http://58.48.5.186:1111/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV5,http://183.185.252.91:9999/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV5,http://171.120.7.130:9999/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV5,http://113.218.230.180:8081/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV5,http://122.224.58.42:85/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV5,http://58.245.97.28:9901/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV6,http://171.120.7.130:9999/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV6,http://122.224.58.42:85/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV6,http://183.185.252.91:9999/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV6,http://58.48.5.186:1111/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV6,http://210.22.75.86:9901/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV6,http://58.245.97.28:9901/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV6,http://116.233.34.25:7777/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV6,http://113.218.230.180:8081/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV7,http://122.224.58.42:85/tsfile/live/0007_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV7,http://183.185.252.91:9999/tsfile/live/0007_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV7,http://210.22.75.86:9901/tsfile/live/0007_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV7,http://171.120.7.130:9999/tsfile/live/0007_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV7,http://113.218.230.180:8081/tsfile/live/0007_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV7,http://116.233.34.25:7777/tsfile/live/0007_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV7,http://58.48.5.186:1111/tsfile/live/0007_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV8,http://183.185.252.91:9999/tsfile/live/0008_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV8,http://171.120.7.130:9999/tsfile/live/0008_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV8,http://210.22.75.86:9901/tsfile/live/0008_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV8,http://116.233.34.25:7777/tsfile/live/0008_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV8,http://113.218.230.180:8081/tsfile/live/0008_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV8,http://122.224.58.42:85/tsfile/live/0008_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV8,http://58.48.5.186:1111/tsfile/live/0008_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV8,http://58.245.97.28:9901/tsfile/live/0008_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV9,http://58.48.5.186:1111/tsfile/live/0009_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV9,http://171.120.7.130:9999/tsfile/live/0009_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV9,http://122.224.58.42:85/tsfile/live/0009_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV9,http://183.185.252.91:9999/tsfile/live/0009_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV9,http://113.218.230.180:8081/tsfile/live/0009_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV9,http://116.233.34.25:7777/tsfile/live/0009_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV10,http://183.185.252.91:9999/tsfile/live/0010_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV10,http://113.218.230.180:8081/tsfile/live/0010_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV10,http://210.22.75.86:9901/tsfile/live/0010_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV10,http://122.224.58.42:85/tsfile/live/0010_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV10,http://116.233.34.25:7777/tsfile/live/0010_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV10,http://171.120.7.130:9999/tsfile/live/0010_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV10,http://58.48.5.186:1111/tsfile/live/0010_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV11,http://122.224.58.42:85/tsfile/live/0011_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV11,http://58.48.5.186:1111/tsfile/live/0011_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV11,http://116.233.34.25:7777/tsfile/live/0011_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV11,http://183.185.252.91:9999/tsfile/live/0011_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV11,http://113.218.230.180:8081/tsfile/live/0011_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV11,http://171.120.7.130:9999/tsfile/live/0011_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV12,http://113.218.230.180:8081/tsfile/live/0012_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV12,http://171.120.7.130:9999/tsfile/live/0012_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV12,http://58.245.97.28:9901/tsfile/live/0012_1.m3u8?key=Aikantv&t=1727575208$晚高峰卡
CCTV12,http://58.48.5.186:1111/tsfile/live/0012_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV12,http://210.22.75.86:9901/tsfile/live/0012_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV12,http://116.233.34.25:7777/tsfile/live/0012_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV12,http://183.185.252.91:9999/tsfile/live/0012_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV12,http://122.224.58.42:85/tsfile/live/0012_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV13,http://210.22.75.86:9901/tsfile/live/0013_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV13,http://122.224.58.42:85/tsfile/live/0013_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV13,http://183.185.252.91:9999/tsfile/live/0013_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV13,http://58.48.5.186:1111/tsfile/live/0013_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV13,http://116.233.34.25:7777/tsfile/live/0013_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV13,http://58.245.97.28:9901/tsfile/live/0013_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV13,http://171.120.7.130:9999/tsfile/live/0013_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV13,http://113.218.230.180:8081/tsfile/live/0013_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV14,http://210.22.75.86:9901/tsfile/live/0014_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV14,http://171.120.7.130:9999/tsfile/live/0014_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV14,http://58.48.5.186:1111/tsfile/live/0014_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV14,http://116.233.34.25:7777/tsfile/live/0014_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV14,http://122.224.58.42:85/tsfile/live/0014_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV14,http://183.185.252.91:9999/tsfile/live/0014_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV14,http://113.218.230.180:8081/tsfile/live/0014_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV15,http://122.224.58.42:85/tsfile/live/0015_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV15,http://116.233.34.25:7777/tsfile/live/0015_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV15,http://113.218.230.180:8081/tsfile/live/0015_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV15,http://58.245.97.28:9901/tsfile/live/0015_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV15,http://171.120.7.130:9999/tsfile/live/0015_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV15,http://183.185.252.91:9999/tsfile/live/0015_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV15,http://58.48.5.186:1111/tsfile/live/0015_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV16,http://116.233.34.25:7777/tsfile/live/1038_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV17,http://116.233.34.25:7777/tsfile/live/1039_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV17,http://58.48.5.186:1111/tsfile/live/0017_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV17,http://58.245.97.28:9901/tsfile/live/0019_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
吉视生活,http://58.245.97.28:9901/tsfile/live/1002_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
安徽卫视,http://58.48.5.186:1111/tsfile/live/0130_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
长影频道,http://58.245.97.28:9901/tsfile/live/1006_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
山东卫视,http://58.48.5.186:1111/tsfile/live/0131_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
湖南卫视,http://58.48.5.186:1111/tsfile/live/0128_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
江苏卫视,http://58.48.5.186:1111/tsfile/live/0127_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
浙江卫视,http://58.48.5.186:1111/tsfile/live/0124_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
重庆卫视,http://58.245.97.28:9901/tsfile/live/0142_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
天津卫视,http://58.48.5.186:1111/tsfile/live/0135_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
吉视影视,http://58.245.97.28:9901/tsfile/live/1000_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
广东卫视,http://58.48.5.186:1111/tsfile/live/0125_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
北京卫视,http://58.48.5.186:1111/tsfile/live/0122_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
东方卫视,http://58.48.5.186:1111/tsfile/live/0107_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
贵州卫视,http://58.245.97.28:9901/tsfile/live/0120_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
四川卫视,http://58.245.97.28:9901/tsfile/live/0123_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
吉视都市,http://58.245.97.28:9901/tsfile/live/1001_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
深圳卫视,http://58.48.5.186:1111/tsfile/live/0126_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
陕西卫视,http://171.120.7.130:9999/tsfile/live/0136_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
广东卫视,http://58.245.97.28:9901/tsfile/live/0125_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CHC电影,http://58.48.5.186:1111/tsfile/live/0142_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
云南卫视,http://116.233.34.25:7777/tsfile/live/0119_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
广西卫视,http://116.233.34.25:7777/tsfile/live/0113_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
宁夏卫视,http://116.233.34.25:7777/tsfile/live/0112_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
新疆卫视,http://116.233.34.25:7777/tsfile/live/0110_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
西藏卫视,http://116.233.34.25:7777/tsfile/live/0111_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
吉林卫视,http://116.233.34.25:7777/tsfile/live/0116_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
三沙卫视,http://116.233.34.25:7777/tsfile/live/1056_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
兵团卫视,http://116.233.34.25:7777/tsfile/live/0115_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CCTV风云足球,http://58.48.5.186:1111/tsfile/live/0142_2.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CHC家庭电影,http://58.48.5.186:1111/tsfile/live/0131_2.m3u8?key=Aikantv&t=1727575209$晚高峰卡
CHC动作电影,http://58.48.5.186:1111/tsfile/live/0121_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
吉林卫视,http://58.245.97.28:9901/tsfile/live/0116_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
湖南卫视,http://58.245.97.28:9901/tsfile/live/0128_1.m3u8?key=Aikantv&t=1727575209$晚高峰卡
