

秒开,#genre#
CCTV5,http://223.159.9.41:8099/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727184613$晚高峰卡
CCTV5,http://171.38.195.114:8088/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727184613$晚高峰卡
CCTV5,http://171.38.192.25:8088/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727184613$晚高峰卡
CCTV5,http://113.218.230.180:8081/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727184614$晚高峰卡
CCTV5,http://219.159.194.157:8181/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727184614$晚高峰卡
CCTV6,http://171.38.192.25:8088/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727184614$晚高峰卡
CCTV6,http://171.38.195.114:8088/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727184614$晚高峰卡
CCTV6,http://219.159.194.157:8181/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727184614$晚高峰卡
CCTV6,http://113.218.230.180:8081/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727184614$晚高峰卡
CCTV7,http://219.159.194.157:8181/tsfile/live/0007_1.m3u8?key=Aikantv&t=1727184614$晚高峰卡
CCTV7,http://113.218.230.180:8081/tsfile/live/0007_1.m3u8?key=Aikantv&t=1727184614$晚高峰卡
CCTV7,http://171.38.192.25:8088/tsfile/live/0007_1.m3u8?key=Aikantv&t=1727184614$晚高峰卡
CCTV7,http://171.38.195.114:8088/tsfile/live/0007_1.m3u8?key=Aikantv&t=1727184614$晚高峰卡
CCTV8,http://219.159.194.157:8181/tsfile/live/0008_1.m3u8?key=Aikantv&t=1727184614$晚高峰卡
CCTV8,http://171.38.192.25:8088/tsfile/live/0008_1.m3u8?key=Aikantv&t=1727184614$晚高峰卡
CCTV8,http://171.38.195.114:8088/tsfile/live/0008_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV8,http://113.218.230.180:8081/tsfile/live/0008_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV9,http://219.159.194.157:8181/tsfile/live/0009_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV9,http://171.38.195.114:8088/tsfile/live/0009_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV9,http://171.38.192.25:8088/tsfile/live/0009_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV9,http://113.218.230.180:8081/tsfile/live/0009_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV10,http://219.159.194.157:8181/tsfile/live/0010_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV10,http://171.38.192.25:8088/tsfile/live/0010_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV10,http://113.218.230.180:8081/tsfile/live/0010_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV10,http://171.38.195.114:8088/tsfile/live/0010_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV11,http://219.159.194.157:8181/tsfile/live/0011_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV11,http://113.218.230.180:8081/tsfile/live/0011_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV12,http://113.218.230.180:8081/tsfile/live/0012_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV12,http://171.38.192.25:8088/tsfile/live/0012_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV12,http://219.159.194.157:8181/tsfile/live/0012_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV12,http://171.38.195.114:8088/tsfile/live/0012_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV13,http://223.159.9.41:8099/tsfile/live/0013_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV13,http://171.38.192.25:8088/tsfile/live/0013_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV13,http://113.218.230.180:8081/tsfile/live/0013_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV13,http://171.38.195.114:8088/tsfile/live/0013_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV13,http://219.159.194.157:8181/tsfile/live/0013_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV14,http://113.218.230.180:8081/tsfile/live/0014_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV14,http://171.38.192.25:8088/tsfile/live/0014_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV14,http://171.38.195.114:8088/tsfile/live/0014_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV14,http://171.38.195.227:8088/tsfile/live/0014_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV14,http://219.159.194.157:8181/tsfile/live/0014_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV15,http://219.159.194.157:8181/tsfile/live/0015_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV15,http://113.218.230.180:8081/tsfile/live/0015_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV15,http://171.38.192.25:8088/tsfile/live/0015_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV15,http://171.38.195.114:8088/tsfile/live/0015_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV16,http://171.38.195.227:8088/tsfile/live/0016_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV16,http://219.159.194.157:8181/tsfile/live/1021_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV16,http://171.38.195.114:8088/tsfile/live/0016_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV16,http://171.38.192.25:8088/tsfile/live/0016_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV17,http://171.38.195.114:8088/tsfile/live/0017_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV17,http://171.38.192.25:8088/tsfile/live/0017_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CCTV17,http://219.159.194.157:8181/tsfile/live/0019_1.m3u8?key=Aikantv&t=1727184615$晚高峰卡
CGTN纪录,http://113.218.230.180:8081/tsfile/live/0016_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
湖南卫视,http://113.218.230.180:8081/tsfile/live/0017_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
卡酷动画,http://113.218.230.180:8081/tsfile/live/1005_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
浙江卫视,http://223.159.9.41:8099/tsfile/live/0124_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
湖南都市,http://113.218.230.180:8081/tsfile/live/0018_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
广东卫视,http://223.159.9.41:8099/tsfile/live/0125_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
湖南电影,http://113.218.230.180:8081/tsfile/live/0019_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
湖北卫视,http://223.159.9.41:8099/tsfile/live/0132_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
湖南娱乐,http://113.218.230.180:8081/tsfile/live/1000_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
湖南国际,http://113.218.230.180:8081/tsfile/live/1001_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
湖南金鹰卡通,http://113.218.230.180:8081/tsfile/live/1002_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
内蒙古卫视,http://219.159.194.157:8181/tsfile/live/0109_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
兵团卫视,http://219.159.194.157:8181/tsfile/live/0115_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
青海卫视,http://219.159.194.157:8181/tsfile/live/0140_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
湖南国际,http://223.159.9.41:8099/tsfile/live/1007_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
湖南经视,http://223.159.9.41:8099/tsfile/live/1006_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
金鹰卡通,http://223.159.9.41:8099/tsfile/live/1005_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
湖南电视剧,http://223.159.9.41:8099/tsfile/live/1004_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
湖南娱乐,http://223.159.9.41:8099/tsfile/live/1000_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
陕西卫视,http://223.159.9.41:8099/tsfile/live/0136_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
湖南都市,http://223.159.9.41:8099/tsfile/live/1002_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
湖南电影,http://223.159.9.41:8099/tsfile/live/1001_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
黑龙江卫视,http://223.159.9.41:8099/tsfile/live/0143_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
重庆卫视,http://223.159.9.41:8099/tsfile/live/0142_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
江苏卫视,http://113.218.230.180:8081/tsfile/live/0127_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
河南卫视,http://223.159.9.41:8099/tsfile/live/0139_1.m3u8?key=Aikantv&t=1727184616$晚高峰卡
江西卫视,http://223.159.9.41:8099/tsfile/live/0138_1.m3u8?key=Aikantv&t=1727184617$晚高峰卡
辽宁卫视,http://223.159.9.41:8099/tsfile/live/0121_1.m3u8?key=Aikantv&t=1727184617$晚高峰卡
云南卫视,http://223.159.9.41:8099/tsfile/live/0119_1.m3u8?key=Aikantv&t=1727184617$晚高峰卡
浙江卫视,http://113.218.230.180:8081/tsfile/live/0124_1.m3u8?key=Aikantv&t=1727184617$晚高峰卡
宁夏卫视,http://113.218.230.180:8081/tsfile/live/0112_1.m3u8?key=Aikantv&t=1727184617$晚高峰卡
黑龙江卫视,http://113.218.230.180:8081/tsfile/live/0143_1.m3u8?key=Aikantv&t=1727184617$晚高峰卡
贵州卫视,http://113.218.230.180:8081/tsfile/live/0120_1.m3u8?key=Aikantv&t=1727184617$晚高峰卡
河北卫视,http://113.218.230.180:8081/tsfile/live/0117_1.m3u8?key=Aikantv&t=1727184617$晚高峰卡
吉林卫视,http://113.218.230.180:8081/tsfile/live/0116_1.m3u8?key=Aikantv&t=1727184617$晚高峰卡
陕西卫视,http://113.218.230.180:8081/tsfile/live/0136_1.m3u8?key=Aikantv&t=1727184617$晚高峰卡
山西卫视,http://113.218.230.180:8081/tsfile/live/0118_1.m3u8?key=Aikantv&t=1727184617$晚高峰卡
内蒙古卫视,http://113.218.230.180:8081/tsfile/live/0109_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
西藏卫视,http://113.218.230.180:8081/tsfile/live/0111_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
云南卫视,http://113.218.230.180:8081/tsfile/live/0119_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
广西卫视,http://223.159.9.41:8099/tsfile/live/0113_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
东南卫视,http://223.159.9.41:8099/tsfile/live/0137_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
东方卫视,http://223.159.9.41:8099/tsfile/live/0107_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
新疆卫视,http://113.218.230.180:8081/tsfile/live/0110_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
旅游卫视,http://219.159.194.157:8181/tsfile/live/0114_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
哈哈炫动,http://113.218.230.180:8081/tsfile/live/1007_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
湖南教育,http://223.159.9.41:8099/tsfile/live/1008_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
优漫卡通,http://113.218.230.180:8081/tsfile/live/1006_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
河南卫视,http://113.218.230.180:8081/tsfile/live/0139_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
重庆卫视,http://113.218.230.180:8081/tsfile/live/0142_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
安徽卫视,http://113.218.230.180:8081/tsfile/live/0130_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
吉林卫视,http://223.159.9.41:8099/tsfile/live/0116_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
北京卫视,http://113.218.230.180:8081/tsfile/live/0122_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
天津卫视,http://113.218.230.180:8081/tsfile/live/0135_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
贵州卫视,http://223.159.9.41:8099/tsfile/live/0120_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
南方卫视,http://113.218.230.180:8081/tsfile/live/1004_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
山西卫视,http://223.159.9.41:8099/tsfile/live/0118_1.m3u8?key=Aikantv&t=1727184618$晚高峰卡
河北卫视,http://223.159.9.41:8099/tsfile/live/0117_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
东方卫视,http://113.218.230.180:8081/tsfile/live/0107_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
江西卫视,http://113.218.230.180:8081/tsfile/live/0138_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
四川卫视,http://113.218.230.180:8081/tsfile/live/0123_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
深圳卫视,http://113.218.230.180:8081/tsfile/live/0126_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
辽宁卫视,http://113.218.230.180:8081/tsfile/live/0121_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
东南卫视,http://113.218.230.180:8081/tsfile/live/0137_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
海南卫视,http://113.218.230.180:8081/tsfile/live/1003_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
广东卫视,http://113.218.230.180:8081/tsfile/live/0125_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
湖北卫视,http://113.218.230.180:8081/tsfile/live/0132_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
广西卫视,http://113.218.230.180:8081/tsfile/live/0113_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
山东卫视,http://113.218.230.180:8081/tsfile/live/0131_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
西藏卫视,http://219.159.194.157:8181/tsfile/live/0111_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
四川卫视,http://219.159.194.157:8181/tsfile/live/0123_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
重庆卫视,http://219.159.194.157:8181/tsfile/live/0142_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
深圳卫视,http://171.38.195.114:8088/tsfile/live/0128_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
湖南娱乐,http://223.159.9.41:8099/tsfile/live/1000_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
湖南公共,http://223.159.9.41:8099/tsfile/live/1003_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
湖南电视剧,http://223.159.9.41:8099/tsfile/live/1004_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
金鹰卡通,http://223.159.9.41:8099/tsfile/live/1005_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
湖南经视,http://223.159.9.41:8099/tsfile/live/1006_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
湖南国际,http://223.159.9.41:8099/tsfile/live/1007_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
湖南教育,http://223.159.9.41:8099/tsfile/live/1008_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
金鹰纪实,http://223.159.9.41:8099/tsfile/live/1009_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
广西卫视,http://171.38.195.114:8088/tsfile/live/0113_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
南宁影视频道,http://171.38.195.114:8088/tsfile/live/0113_2.m3u8?key=Aikantv&t=1727184619$晚高峰卡
西藏卫视,http://171.38.195.114:8088/tsfile/live/0111_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
湖南电影,http://223.159.9.41:8099/tsfile/live/1001_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
安徽卫视,http://171.38.195.114:8088/tsfile/live/0130_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
兵团卫视,http://171.38.195.114:8088/tsfile/live/0115_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
宁夏卫视,http://171.38.195.114:8088/tsfile/live/0112_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
新疆卫视,http://171.38.195.114:8088/tsfile/live/0110_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
广西卫视,http://171.38.192.25:8088/tsfile/live/0113_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
南宁影视频道,http://171.38.192.25:8088/tsfile/live/0113_2.m3u8?key=Aikantv&t=1727184619$晚高峰卡
深圳卫视,http://171.38.192.25:8088/tsfile/live/0128_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
西藏卫视,http://171.38.192.25:8088/tsfile/live/0111_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
安徽卫视,http://171.38.192.25:8088/tsfile/live/0130_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
兵团卫视,http://171.38.192.25:8088/tsfile/live/0115_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
宁夏卫视,http://171.38.192.25:8088/tsfile/live/0112_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
湖南都市,http://223.159.9.41:8099/tsfile/live/1002_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
黑龙江卫视,http://223.159.9.41:8099/tsfile/live/0143_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
康巴卫视,http://219.159.194.157:8181/tsfile/live/0134_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
浙江卫视,http://223.159.9.41:8099/tsfile/live/0124_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
东方卫视,http://223.159.9.41:8099/tsfile/live/0107_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
东南卫视,http://223.159.9.41:8099/tsfile/live/0137_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
广西卫视,http://223.159.9.41:8099/tsfile/live/0113_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
吉林卫视,http://223.159.9.41:8099/tsfile/live/0116_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
山西卫视,http://223.159.9.41:8099/tsfile/live/0118_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
云南卫视,http://223.159.9.41:8099/tsfile/live/0119_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
贵州卫视,http://223.159.9.41:8099/tsfile/live/0120_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
辽宁卫视,http://223.159.9.41:8099/tsfile/live/0121_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
北京卫视,http://223.159.9.41:8099/tsfile/live/0122_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
四川卫视,http://223.159.9.41:8099/tsfile/live/0123_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
广东卫视,http://223.159.9.41:8099/tsfile/live/0125_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
重庆卫视,http://223.159.9.41:8099/tsfile/live/0142_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
深圳卫视,http://223.159.9.41:8099/tsfile/live/0126_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
江苏卫视,http://223.159.9.41:8099/tsfile/live/0127_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
湖南卫视,http://223.159.9.41:8099/tsfile/live/0128_1.m3u8?key=Aikantv&t=1727184619$晚高峰卡
安徽卫视,http://223.159.9.41:8099/tsfile/live/0130_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
山东卫视,http://223.159.9.41:8099/tsfile/live/0131_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
湖北卫视,http://223.159.9.41:8099/tsfile/live/0132_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
天津卫视,http://223.159.9.41:8099/tsfile/live/0135_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
陕西卫视,http://223.159.9.41:8099/tsfile/live/0136_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
江西卫视,http://223.159.9.41:8099/tsfile/live/0138_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
河南卫视,http://223.159.9.41:8099/tsfile/live/0139_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
青海卫视,http://223.159.9.41:8099/tsfile/live/0140_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
新疆卫视,http://171.38.192.25:8088/tsfile/live/0110_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
金鹰纪实,http://223.159.9.41:8099/tsfile/live/1009_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
广西卫视,http://171.38.195.227:8088/tsfile/live/0113_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
深圳卫视,http://219.159.194.157:8181/tsfile/live/0126_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
金鹰纪实,http://219.159.194.157:8181/tsfile/live/1016_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
教育一套,http://219.159.194.157:8181/tsfile/live/1017_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
广西卫视,http://219.159.194.157:8181/tsfile/live/0113_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
家庭影院,http://219.159.194.157:8181/tsfile/live/1018_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
动作电影,http://219.159.194.157:8181/tsfile/live/1019_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
电影,http://219.159.194.157:8181/tsfile/live/1020_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
南宁综合,http://219.159.194.157:8181/tsfile/live/0143_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
安徽卫视,http://219.159.194.157:8181/tsfile/live/0130_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
辽宁卫视,http://219.159.194.157:8181/tsfile/live/0121_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
上海卫视,http://219.159.194.157:8181/tsfile/live/0107_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
浙江卫视,http://219.159.194.157:8181/tsfile/live/0124_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
天津卫视,http://219.159.194.157:8181/tsfile/live/0135_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
贵州卫视,http://219.159.194.157:8181/tsfile/live/0120_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
湖北卫视,http://219.159.194.157:8181/tsfile/live/0132_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
黑龙江卫视+,http://219.159.194.157:8181/tsfile/live/0143_2.m3u8?key=Aikantv&t=1727184620$晚高峰卡
广东卫视,http://219.159.194.157:8181/tsfile/live/0125_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
江苏卫视,http://219.159.194.157:8181/tsfile/live/0127_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
吉林卫视,http://219.159.194.157:8181/tsfile/live/0116_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
河北卫视,http://219.159.194.157:8181/tsfile/live/0117_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
经典电影,http://219.159.194.157:8181/tsfile/live/1008_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
甘肃卫视,http://219.159.194.157:8181/tsfile/live/0141_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
中国气象,http://219.159.194.157:8181/tsfile/live/1015_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
陕西卫视,http://219.159.194.157:8181/tsfile/live/0136_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
云南卫视,http://219.159.194.157:8181/tsfile/live/0119_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
湖南卫视,http://219.159.194.157:8181/tsfile/live/0128_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
江西卫视,http://219.159.194.157:8181/tsfile/live/0138_1.m3u8?key=Aikantv&t=1727184620$晚高峰卡
南宁影视频道,http://171.38.195.227:8088/tsfile/live/0113_2.m3u8?key=Aikantv&t=1727184620$晚高峰卡
山东卫视,http://219.159.194.157:8181/tsfile/live/0131_1.m3u8?key=Aikantv&t=1727184621$晚高峰卡
深圳卫视,http://171.38.195.227:8088/tsfile/live/0128_1.m3u8?key=Aikantv&t=1727184621$晚高峰卡
西藏卫视,http://171.38.195.227:8088/tsfile/live/0111_1.m3u8?key=Aikantv&t=1727184621$晚高峰卡
安徽卫视,http://171.38.195.227:8088/tsfile/live/0130_1.m3u8?key=Aikantv&t=1727184621$晚高峰卡
兵团卫视,http://171.38.195.227:8088/tsfile/live/0115_1.m3u8?key=Aikantv&t=1727184621$晚高峰卡
宁夏卫视,http://171.38.195.227:8088/tsfile/live/0112_1.m3u8?key=Aikantv&t=1727184621$晚高峰卡
新疆卫视,http://171.38.195.227:8088/tsfile/live/0110_1.m3u8?key=Aikantv&t=1727184621$晚高峰卡
珠江台,http://219.159.194.157:8181/tsfile/live/1000_1.m3u8?key=Aikantv&t=1727184621$晚高峰卡
广东体育,http://219.159.194.157:8181/tsfile/live/1001_1.m3u8?key=Aikantv&t=1727184621$晚高峰卡
